available,query
True," Subject: Room Reservation Request at Premier Boutique Stay, New York (September 2025 - June 2026)

Dear Hotel Reservations,

I am reaching out to book a room for an extended stay at your Premier Boutique Stay hotel in New York City. I would like to request a room from September 22nd, 2025 to June 5th, 2026. "
False," Hello, I'd like to make a reservation for a room at The Heritage Corner Hotel, Delhi, for the period between January 29, 2026, and June 25, 2026. "
True," I need some suggestions for hotels available in Moscow from June 28, 2026 to June 30, 2026"
True," Hi there, could you please provide me with a list of available hotels in Karachi for the upcoming week?"
False," Hi there! I'm interested in booking a room at the Regal Charm Boutique Hotel for a stay between August 5th, 2025 and September 21st, 2025. "
False," Subject: Room Reservation Inquiry at The Exquisite Retreat, Los Angeles - October 2025 to June 2026
Dear Hotel Reservations,
I hope this message finds you well. I am writing to inquire about availability and rates for a room booking at The Exquisite Retreat hotel in Los Angeles from October 27, 2025, to June 6, 2026. "
True," Dear Hotel Reservations,

I would like to book a room at Urban Luxe Suites in Cairo for the period of May 3rd, 2026 to June 11th, 2026. "
False," Hey there! I'd like to make a reservation at the Marriott Hotel for a stay from December 30, 2025, to April 20, 2026."
True," Hello! I'm looking for hotels in Tokyo. Could you please provide me with some options? Also, if possible, let me know about the availability and average rates during the period from July 1st to July 5th. Thank you!"
True," Hey there! Could you please tell me about the hotels available in Sao Paulo from December 4, 2025 onwards?"
True," Subject: Room Booking Request for The Velvet Key Hotel, Kolkata (December 2025 - February 2026)

Hello there,

I'd like to make a room reservation at The Velvet Key hotel in Kolkata. I am interested in staying from December 13, 2025, to February 18, 2026. "
True, Hello! I'm looking for hotels in Mumbai that are currently available for booking. Could you please provide me with some options? Thank you.
False," Hi, I'm looking to book a hotel in Cape Town. Could you please provide me with some options and their current availability?"
True," Hi, I'm looking for hotels in Mexico City. Could you please provide me with some options for my stay?"
False," Hello, I'd like to make a reservation for a hotel room in Mexico City for the dates of January 15, 2026, to April 27, 2026. "
True," Can you please provide me with a list of hotels available in Delhi from March 27, 2026, to July 14, 2026? Thanks!"
True," Are there any hotels available in Shanghai with check-in on April 6, 2026? If so, could you please provide a list of the options along with their prices and amenities?"
False," Subject: Room Reservation at Havencrest Inn - Dates: January 16, 2026 - March 9, 2026
Dear Havencrest Inn Reservations Team,
I hope this message finds you well. I'm interested in booking a room for an extended stay at your hotel from January 16, 2026 to March 9, 2026."
True," Hey there! I'm looking for hotels in Beijing, China, from January 20, 2026, to April 12, 2026. Could you please provide me with some options and their rates?"
False," Subject: Room Booking Request - August 2025 to March 2026 in Los Angeles
Dear Hotel Reservations,
I hope this message finds you well. I'm interested in booking a room at your hotel in Los Angeles for a extended stay from August 1, 2025 to March 30, 2026. "
True," Hello, I'd like to make a reservation for a stay at Hotel Excellence Artistry in Cairo from November 23, 2025, to July 29, 2026. "
True," Can you please provide me with a list of hotels available in Kolkata, India, between January 31, 2026, and April 7, 2026? Also, kindly include the room rates for each option."
True," Hey there, could you please provide me with a list of hotels available in Seoul from August 7, 2025, to July 23, 2026? I'm looking forward to seeing the options."
True," Hey there! I'd like to make a reservation at the Four Seasons Hotel in Jakarta for a stay from May 3rd to May 29th, 2026."
True,"Give me options available in Seoul, South Korea from May 7, 2026, to June 22, 2026"
True, Hey there! I'm looking to book a hotel stay in New York. Could you please provide me with some options of available hotels in the area?
True," Could you please provide me with a list of hotels available in Moscow from November 12, 2025 to December 15, 2025?"
True," Can you provide me with a list of hotels available in Kolkata between November 18, 2025 and December 24, 2025?"
True," Hi there! I'd like to make a reservation at the Four Seasons Hotel in Jakarta for a stay from March 30, 2026, to July 2, 2026."
True," Could you please provide me with the list of hotels available for booking in Karachi from June 11, 2026, to June 24, 2026?"
True, Hey there! I'm looking to book a hotel stay in Delhi. Could you please provide some options and their rates for the upcoming weekend?
False," Hey there, I'm looking for hotel accommodations in Los Angeles from November 22, 2025, to July 4, 2026. Can you provide me with some options for a comfortable and convenient stay during this period?"
True," Hi there! I'm looking to book a hotel stay in Bangkok from October 1, 2025, to November 13, 2025. Can you provide me with some options for hotels available during this period?"
True," Subject: Room Reservation Request - Epic Estates Hotel, Bangkok (August 2025 - July 2026)

Hello,

I'd like to make a reservation for a stay at the Epic Estates Hotel in Bangkok. I'm looking to book a room from August 16, 2025, until July 9, 2026. "
True," Can you provide me with a list of hotels available in Tokyo from November 24, 2025, to July 19, 2026?"
False," Hello, I'd like to make a reservation for a stay at Urban Luxe Suites hotel in Bangkok from September 2nd, 2025 to October 5th, 2025."
False," Hi there! I'd like to make a reservation at The Luxury Collection hotel, Keokuk, for the dates of November 25, 2025, through December 22, 2025."
True," Are there any hotels available in New York with check-in starting from May 4, 2026?"
False," Hey there! I'd like to make a reservation at Serenity Sands Hotel from December 27, 2025, to March 5, 2026."
True," Hi there, I'd like to make a reservation at the Hotel Excellence Artistry in Cairo for a stay from March 1st to April 27th, 2026. "
False," Hello, I'd like to make a reservation for a hotel stay in New York. The dates of the stay are from March 14, 2026, to April 2, 2026."
True," Hi there! I'd like to book a room at the Crowne Plaza Hotel in Mexico City from August 30, 2025, to April 15, 2026. "
True," Are there any hotels available in Shenzhen from August 19, 2025, onwards? If so, could you please provide some options along with their rates and amenities?"
True," Can you provide a list of hotels in Bangkok that are available for booking from July 5, 2026, to July 9, 2026?"
True," Subject: Room Booking Request at Elite Craft Hotel, Dhaka (November 29, 2025 - May 3, 2026)

Hello,

I would like to book a room at your hotel for a stay from November 29, 2025, to May 3, 2026. The property I am interested in is the Elite Craft Hotel in Dhaka."
True," Subject: Room Reservation at Premier Boutique Stay Hotel, New York - October 2025 to February 2026

Dear Hotel Reservations,

I would like to make a room reservation for the period of October 2, 2025, to February 17, 2026, at your Premier Boutique Stay hotel in New York. "
True," Could you please provide me with a list of available hotels in Shanghai from September 11, 2025, to January 19, 2026?"
False,"If you were to create a new type of renewable energy, what would it be and how would it work?"
False," Hi there, I'd like to make a reservation at the Whispering Dreams Hotel in Paris for a stay between April 24, 2026, and June 11, 2026."
False," Hello, I'd like to make a reservation at the Marrow & Stone Hotel for two people, from June 14, 2026, to July 29, 2026."
True," Hello, I'm looking to book a hotel stay in New York starting from April 26, 2026. Could you please provide a list of available accommodations within the city?"
True," Are there any hotels available in Tokyo for booking? If so, please list some options along with their star ratings and average nightly rates."
False," Are there any hotels available for stays starting from November 6, 2025, in Keokuk? If so, could you please provide a list with some basic details like the hotel name, star rating, and approximate price per night?"
True," Hey there! I'm looking to book a hotel stay in Kolkata, starting from February 7, 2026. Could you please provide me with some options for accommodations?"
True, Hi there! I'm looking for some hotels available in Shenzhen. Could you please provide me with some options for a stay? Thanks!
False," Hi there, I'd like to make a reservation at the Pinnacle Perfection hotel in Jakarta for the dates of November 20, 2025, through December 20, 2025. "
True,"Which hotels will be available in Dhaka from January 17, 2026?"
True," Could you please provide me with a list of hotels available in Karachi, Pakistan, between September 12, 2025, and October 7, 2025? I'd appreciate details such as hotel name, star rating, average nightly rate, and any special offers or amenities. Thank you!"
True," Hello, I would like to book a room at Enigma's Embrace Haven hotel in Shenzhen from May 1, 2026, to June 11, 2026. "
True," Hello there! I'd like to make a reservation at Epic Estates Hotel in Bangkok for the period of May 22, 2026, to June 20, 2026. "
True," Hello! I'm looking for available hotels in Shanghai from March 20, 2026, to June 13, 2026. Can you provide me with a list of options and any special offers or discounts that might be applicable during this period? Thank you!"
False," Subject: Room Reservation Request at LegacyCraft Suites Hotel, Manila (August 25, 2025 - March 15, 2026)
Dear LegacyCraft Suites Team,
I would like to make a room reservation for the period between August 25, 2025, and March 15, 2026, at your esteemed hotel in Manila."
False," Hey there! I'm looking for hotel options in Los Angeles from October 20, 2025, to March 28, 2026. Could you please provide some suggestions?"
True," Hi, I'm looking for available hotels in Sao Paulo for a stay from May 8, 2026, to July 8, 2026. Could you please provide me with some options?"
True," Hey there! I'd like to reserve a room at the Elite Craft Hotel in Dhaka for the period between August 28, 2025 and November 14, 2025."
True," Hello there! I'd like to make a reservation at the Regal Charm Boutique Hotel in Bangkok. Could you please assist me in booking a room for a stay between November 8, 2025, and July 26, 2026? I look forward to your response!"
False," Hello, I'd like to make a reservation for a hotel room in Manila from February 12, 2026, to July 5, 2026."
True," Hello! I'm looking for hotels available in Sao Paulo from September 30, 2025, to October 29, 2025. Could you please provide some options for me? Thanks!"
True," Can you provide me with a list of hotels available in Guangzhou, China from March 19 to April 2, 2026? Thank you."
True," Hey there! I'm looking for hotel options in New York City from July 4, 2026, to July 22, 2026. Could you please provide a list of available hotels along with their rates during that period?"
True," Hey there! I'm looking to book a hotel stay in Guangzhou from September 11, 2025, onwards. Could you please provide me with some options for accommodations that are available during that period?"
True," Hello! I'm looking to book a hotel in Mexico City. Could you please provide me with some options, including the name of the hotel, star rating, and approximate price per night? Thank you!"
True," Subject: Room Reservation Request at Solara Retreat Hotel, Cairo

Hello there!

I'd like to make a room reservation for the Solara Retreat hotel in Cairo. Specifically, I need a room from October 28, 2025, through January 13, 2026."
False," Hi there! I'd like to make a reservation for a room at Serenity Sands Hotel in Bangkok from December 16, 2025, to May 2, 2026."
False," Hello! I'm looking for hotels in Paris. Could you please provide a list of options? Also, it would be great if you could share some details such as star rating, amenities, and location for each hotel. Thank you!"
False," Hey there! I'm looking for hotel availability on July 4, 2026, in Keokuk. Can you provide a list of accommodations that are available for one night stay?"
True, Hello there! I'm looking for hotels available in New York. Could you please provide some options with their rates and amenities? Thank you.
False," Hello, I'd like to book a room at LegacyCraft Suites in Cape Town for my upcoming visit."
False," Subject: Room Reservation Request - The Luxury Collection Hotel, Sao Paulo
Dear Hotel Reservations,

I would like to make a reservation for a stay at your prestigious establishment, The Luxury Collection Hotel in Sao Paulo. I am interested in booking a room from February 22nd, 2026 to May 14th, 2026."
False, What is the significance of the Great Barrier Reef in terms of biodiversity and its potential impact on climate change?
True," Hey there! Could you please provide me with a list of hotels available in Jakarta from June 25, 2026, to July 6, 2026?"
False," Subject: Room Booking Request - Majestic Moments Hotel, Bangkok (Dec 12-17, 2025)
Dear Hotel Reservations,
I am interested in booking a room at the Majestic Moments Hotel in Bangkok for the period of December 12 to December 17, 2025. "
False," Subject: Room Booking Request - Elite Escapes Oasis Hotel, Guangzhou (July 23-29, 2026)
Dear Reservations Team,
I am reaching out to inquire about availability for a room booking at the Elite Escapes Oasis Hotel, located in Guangzhou. I would like to reserve a room from July 23rd to July 29th, 2026."
False," Hello, I'd like to make a reservation for a room at Havencrest Inn in Karachi from March 22, 2026, to May 23, 2026."
True," Can you provide a list of hotels available for booking in Dhaka, Bangladesh from June 26, 2026 to July 16, 2026?"
False," Are there any hotels available in Paris with check-in dates from February 19, 2026? Please provide options if available."
True," Hello there! I'd like to make a reservation at the Hilton Hotel, Manila for a stay between May 17, 2026 and June 26, 2026."
True," Hi there! I'd like to book a room at Enigma's Embrace Haven hotel in Shenzhen for the period between November 28, 2025, and May 8, 2026."
False," Are there any hotels currently available in Los Angeles for booking? If so, could you please provide me with some options and their prices?"
True," Subject: Hotel Room Reservation - Majestic Urban Boutique Hotel, Mexico City (February 3, 2025 - April 27, 2026)
Dear Hotel Reservations,

I would like to make a room reservation for 139 nights from February 3, 2025, to April 27, 2026, at the Majestic Urban Boutique Hotel in Mexico City. "
False," Hi there! I'm looking to book a stay at the Hilton Hotel in Tokyo from March 25, 2026, to May 29, 2026."
True," Could you please provide me with a list of hotels available in New York from July 22, 2026, onwards?"
False," Hello, I'd like to reserve a room at the Keokuk Plaza Hotel in Keokuk from June 27, 2026, to July 15, 2026."
False," Subject: Hotel Room Reservation Request - The Heritage Corner, Tokyo
Dear Hotel Reservations,
I am writing to inquire about room availability at your esteemed establishment, The Heritage Corner, in Tokyo. I would like to book a room for a duration of approximately 6 months, starting from October 22, 2025, and ending on May 28, 2026."
True," Subject: Room Reservation Request - April 2026 at Prime Prestige Studio, Mexico City
Dear Hotel Reservations,
I hope this message finds you well. I am interested in booking a room at your esteemed hotel, Prime Prestige Studio, in Mexico City, from Monday, April 11th, 2026, to Sunday, April 29th, 2026."
False," Subject: Room Reservation Inquiry at Urban Luxe Suites, Delhi
Dear Hotel Reservations,
I am writing to inquire about a room booking for the following dates:
- Check-in: January 8, 2026
- Check-out: March 12, 2026
Please let me know if there are any available rooms at Urban Luxe Suites in Delhi for this duration and kindly provide rates and any additional information regarding the booking process."
True," Can you provide a list of hotels available for booking in Mexico City from October 19, 2025, to April 26, 2026?"
True," Hi there! I'd like to make a reservation at The St. Regis Delhi for a stay from March 11, 2026, to April 19, 2026. "
True," Hello, I'd like to make a reservation at the Pinnacle Perfection hotel in New York for the period of June 7, 2026 to July 15, 2026."
True," Hey there! I'd like to make a reservation at the Hilton Hotel in Manila for the period of January 24, 2026, through May 8, 2026."
True," Subject: Room Reservation Request at Majestic Moments Hotel, Shenzhen

Dear Majestic Moments Hotel,

I am interested in booking a room at your hotel located in Shenzhen for the following dates: April 12, 2026 to April 26, 2026. "
True," Subject: Room Reservation at Four Seasons Hotel, Jakarta - July 2026

Hello,

I would like to make a reservation for a stay at the Four Seasons Hotel in Jakarta. The desired dates are from July 3, 2026, to July 31, 2026. "
True," Hey there, I'm looking to book a hotel stay in Guangzhou, China, from February 28, 2026, to July 27, 2026. Can you please provide me with some hotel options that are available during this period?"
False," Inquiry: What are the available hotels in Paris with check-in date on or after October 23, 2025?"
False," Hello, I'd like to make a reservation at Enigma's Embrace Haven Hotel in Jakarta for a stay between June 4, 2026, and July 8, 2026."
True," Hey there, I'm looking to book a room in a hotel located in Shenzhen for a stay between October 22, 2025, and March 25, 2026. "
False," Hi there, I'd like to make a reservation at Urban Luxe Suites from July 6, 2026, to July 11, 2026. "
False," Hello, I'd like to book a room at Emberline Hotel in Dhaka for a stay from December 29, 2025, to April 27, 2026."
True," Hey there! Could you please provide me with a list of hotels available for stays starting from November 2, 2025, in Shenzhen?"
False," Hello, I'd like to reserve a room at the Opulent Overlook Hotel in Dhaka for the period of February 1, 2026, to July 21, 2026."
False," Can you provide me with a list of hotels available for stay in Keokuk, Iowa, between November 21, 2025, and January 16, 2026?"
True," Hey there! I'd like to make a reservation for a room at the Hilton Hotel in Manila from October 6, 2025, to November 7, 2025. "
False," Subject: Room Booking Request - Enigma's Embrace Haven Hotel, Seoul (August 27, 2025 - May 3, 2026)
Dear Enigma's Embrace Haven Hotel,
I am interested in booking a room at your hotel located in Seoul for the period of August 27, 2025 to May 3, 2026. "
False, Hey there! I'm looking to book a hotel stay in Keokuk. Could you please provide some options for hotels available in the area?
False," Hi there! I'd like to make a reservation at The Velvet Key Hotel, Manila for the dates of March 8th to March 20th, 2026."
False," Could you please provide a list of hotels available for stays starting from November 16, 2025, in Keokuk? Thank you!"
True," Could you please provide me with a list of available hotels in Mexico City between December 7, 2025, and December 13, 2025? I'm interested in knowing the room rates for each option as well. Thank you!"
False," Hey there, I'm looking to book a room at the Whispering Dreams hotel for a stay from June 16, 2026, to July 11, 2026."
True," Hello, I'd like to make a reservation for a stay at Serenity Sands hotel in Dhaka. I'm interested in booking a room from January 3, 2026, until July 27, 2026. "
False," Subject: Room Reservation Request at Masterpiece Manor, Beijing (September 7, 2025 - June 6, 2026)
Dear Hotel Booking Team,

I hope this message finds you well. I'm reaching out to request a room booking for my stay at Masterpiece Manor, Beijing from September 7, 2025, to June 6, 2026."
True, Are there any hotels available in Karachi that you can suggest for my stay? I'm looking for a comfortable and affordable option.
False," Subject: Room Reservation Request for Artisan Hotel Collective, Mumbai (October 2025 - February 2026)
Dear Artisan Hotel Collective,
I am interested in booking a room at your property in Mumbai from October 2, 2025, to February 4, 2026."
False," Hello, I'd like to book a room at The St. Regis Hotel in Karachi."
False, What is the significance of the Great Barrier Reef for marine biodiversity and its potential impact on climate change?
True," What are hotel options in Cairo for your stay from May 3rd to May 4th, 2026?"
False," Hello, I'd like to make a reservation for a room at Emberline Hotel in Moscow from February 21, 2026, to March 12, 2026."
True," Hey there! I'm looking to book a hotel stay in Jakarta from October 27, 2025, to November 26, 2025. Could you please provide me with some options for hotels available during that period?"
True," Hello, I'm looking for hotels in Delhi available between October 15, 2025, and March 19, 2026. Could you please provide me with some options?"
False," Hey there! I'm interested in booking a room at the Hilton Hotel, Cape Town, for a stay from November 21, 2025, to March 8, 2026."
True," Can you help me find hotels in Tokyo, Japan available between May 29, 2026 and June 10, 2026?"
True," Could you please provide a list of hotels available in Shanghai for the duration from January 23, 2026 to May 21, 2026?"
False," Hello there! I'm interested in booking a stay at the Artisan Hotel Collective in Dhaka for the period of January 7, 2026 to February 12, 2026. "
True, Hi there! Could you please tell me some hotel options available in Sao Paulo?
True," Hey there! I'm looking for hotel options in Cairo from October 9, 2025, to October 17, 2025. Could you please provide a list of available accommodations?"
True," Hello, I'd like to make a reservation for a room at the Masterpiece Manor Hotel in Moscow. The stay period is from May 17, 2026, to July 18, 2026."
True," Could you please provide me with a list of hotels available in Mumbai between February 9, 2026, and April 3, 2026? I'm looking for any options that may be suitable for a stay."
False," Hello, I'd like to make a reservation at the Hilton Hotel in Tokyo from October 10, 2025, to December 15, 2025. "
False," Hello, I'd like to make a reservation for a room at the Hilton Hotel in Tokyo please. "
True," Hey there! Could you please help me find hotels available in New York from September 20, 2025, to October 17, 2025?"
True," Can you provide me with a list of hotels available for stay in Moscow, Russia from August 14, 2025, to May 5, 2026? Please include details such as the hotel name, star rating, and average nightly rate."
True," Subject: Room Reservation Request at Regal Charm Boutique Hotel, Bangkok

Dear Hotel Reservations,

I would like to book a room at your esteemed Regal Charm Boutique Hotel in Bangkok from January 23, 2026, to January 28, 2026. "
False," Dear Signature Boutique Hotel,
I am interested in booking a room for my stay from September 2, 2025, to March 29, 2026, at your property located in Guangzhou. "
False," Hey there! I'm interested in booking a stay at the Majestic Urban Boutique Hotel in Mumbai from August 8, 2025, to February 5, 2026."
True," I'd like to make a reservation for a room at Sheraton Hotel, Seoul, from February 19, 2026, to July 9, 2026. "
True," Hi there, I'm looking to book a hotel stay in Guangzhou from September 19, 2025 onwards. Could you please provide me with some options for hotels that are currently available during this period?"
True," Inquiry: Could you please provide me with a list of hotels available in Dhaka, Bangladesh, starting from July 1, 2026? Thank you."
True," Could you please provide me with a list of hotels available for booking in New York City, from September 27, 2025, through October 24, 2025?"
False,"If you were given the opportunity to invent a new type of renewable energy, what form would it take and why?"
True," Hey there! I'm looking for hotels available in Bangkok, Thailand, from April 9 to May 5, 2026. Could you please provide some options along with their rates and amenities?"
False," Could you please provide a list of hotels available for booking in Keokuk, Iowa, from May 16, 2026, to May 24, 2026? I'm looking forward to your recommendations."
True," Hi there! I'm looking for hotels available in Tokyo for my next trip. Could you please provide some options with their ratings and average nightly rates? Also, let me know if any of them offer breakfast or Wi-Fi services. Thanks!"
False," Hi there, I'd like to make a reservation at the Hilton Hotel for the period of October 2nd to November 11th, 2025."
False," Can you provide a list of hotels available in Cape Town, South Africa from April 23, 2026 to June 12, 2026? Also, please include the room rates and any special offers or discounts that might be applicable. Thank you!"
True," Hello! I'm looking for hotels available in Beijing, could you please provide some options with their respective rates and amenities? Thank you!"
